Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Hour,Weekday,Time Slot,Driver Assigned,Trip Completed?
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016 13:00,11,Monday,Morning,Yes,Yes
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016 18:47,17,Monday,Evening,Yes,Yes
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016 09:58,9,Tuesday,Morning,Yes,Yes
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016 22:03,21,Tuesday,Night,Yes,Yes
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,8,Wednesday,Early Morning,Yes,Yes
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,21,Wednesday,Night,Yes,Yes
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,6,Thursday,Early Morning,Yes,Yes
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,5,Friday,Early Morning,Yes,Yes
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,17,Friday,Evening,Yes,Yes
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25,6,Monday,Early Morning,Yes,Yes
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016 06:02,5,Tuesday,Early Morning,Yes,Yes
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016 12:57,12,Tuesday,Afternoon,Yes,Yes
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,4,Wednesday,Late Night,Yes,Yes
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,8,Wednesday,Early Morning,Yes,Yes
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,14,Wednesday,Afternoon,Yes,Yes
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,17,Wednesday,Evening,Yes,Yes
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,12,Thursday,Afternoon,Yes,Yes
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,22,Thursday,Night,Yes,Yes
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016 10:31,10,Monday,Morning,Yes,Yes
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016 19:23,18,Monday,Evening,Yes,Yes
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016 12:23,11,Tuesday,Morning,Yes,Yes
